ZIP_CODE,LOCATION,OWNER1,OWNER2,BLDG_CODE,TOTAL_AREA,LIVABLE_AREA,RECORDING_DATE,brief_desc,STD_OWNER,ABBR,MARKET_VALUE,MARKET_VALUE_DATE,LAST_SALE_PRICE,LAST_SALE_DATE,TAXABLE_LAND_VALUE,TAXABLE_BLDG_VALUE,EXEMPT_LAND_VALUE,EXEMPT_BLDG_VALUE
191315011,5307 WESTMINSTER AVE,REDEVELOPMENT AUTHORITY,OF PHILA,V10,10728,5119,1/1/1943,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"22,000.00",7/1/2006,"4,700.00",1/1/1943,0.00,0.00,"4,040.00","3,000.00"
191302215,800 N 16TH ST,CITY OF PHILADELPHIA,,SR,1440,0,10/12/1999,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"43,200.00",7/1/2006,1.00,7/9/1999,0.00,0.00,"13,824.00",0.00
191463631,2929 WHARTON ST,PHILADELPHIA HOUSING,DEVELOPMENT CORPORATION,SR,700,0,10/10/1977,(PHDC) Phila. Housing Dev. Corp.,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,PHDC,"2,000.00",1/1/2003,"2,000.00",10/10/1977,0.00,0.00,640.00,0.00
191041014,4145 LEIDY AVE,CITY OF PHILA,,SR,2560,0,10/4/1988,,CITY OF PHILADELPHIA,PUBPROP,"2,200.00",7/1/2007,800.00,8/29/1988,704.00,704.00,0.00,0.00
191331824,3108 N HUTCHINSON ST,CITY OF PHILA,DEPT OF PUBLC PROP,SR,687,0,5/11/1983,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,500.00,6/1/2002,500.00,2/7/1983,0.00,0.00,160.00,0.00
191220000,714 MASTER ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,546,0,9/6/1967,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"5,800.00",9/1/2008,1.00,9/6/1967,0.00,0.00,"1,856.00",0.00
191333003,419 W YORK ST,PHILADELPHIA HOUSING,DEVELOPMENT CORPORATION,SR,900,0,6/6/1996,(PHDC) Phila. Housing Dev. Corp.,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,PHDC,"1,000.00",11/1/2007,"4,500.00",2/22/1996,0.00,0.00,320.00,0.00
191251109,1901 E HUNTINGDON ST,CITY OF PHILA,DEPT PUBLC PROP,SC,1523,0,10/15/1985,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"1,100.00",3/1/2001,500.00,9/10/1984,0.00,0.00,352.00,0.00
191371313,2217 BRIDGE ST,CITY OF PHILA,,SR,2194,0,12/19/1969,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"3,300.00",1/1/2002,1.00,12/19/1969,0.00,0.00,"1,056.00",0.00
191221206,1002-10 DIAMOND ST,REDEVELOPMENT AUTHORITY,OF PHILA,SC,7400,0,6/25/2009,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"7,400.00",8/1/2006,1.00,6/25/2009,"2,368.00","2,368.00",0.00,0.00
